source,source_type,note,etag,content_length,sha256
"domestic/DOM CITYPAIR DATA, JULY 2018.xlsx",excel,,1f47e5bc636947d7a33c0a3b2eb566e5,43701,ee3c622f219eb3c3503cb59be65c595462b024af4673395ad1f7a282b244ff74
"domestic/DOM CITYPAIR DATA, JULY 2019.xlsx",excel,,9e107f004269c40a79a317087f553ea7,43960,f86e93e321ceb965caffeaf6d2d52ca3a2066ed5142a4dae94866b3a95957fda
"domestic/DOM CITYPAIR DATA, JULY 2020.xlsx",excel,,18c38fdf80b44230866016be1ec99fde,34981,63abbaaf551e3f4d2613aad9e1c10f10f188c7e5c8e947f994f81645c2d5e8c3
"domestic/DOM CITYPAIR DATA, JULY 2023.xlsx",excel,,9b4e7e5a5cc2456e86274d8ac00f3de1,63224,d78e50b23f6ac542555f4696d0267aaade4ac2faa93534ee5e024b7fc8f19b93
"domestic/DOM CITYPAIR DATA, JULY 2024.xlsx",excel,,90933b42a9c53a77b1257ea59b7c12d4,64539,aeef294cf1ecc6b1b488c5dc067cc0498b28792348c279df91815da8f8b937b0
"domestic/DOM CITYPAIR DATA, JULY 2025.xlsx",excel,,03d079ea69cbece095ce667b43f9dae1,68690,2b543ae44f4533cd604d23cb0d957c09cf1d851e90caf9f2dafd4a98bff54489
"domestic/DOM CITYPAIR DATA, JULY 2026.xlsx",excel,,3416ecbedbf5d06e8c7ccce41f3f8292,64790,4a57537c3d04d05868e49348b4d9803b54408319beee3898faf9584b0f39f4f6
"domestic/DOM CITYPAIR DATA, JUNE  2020.xlsx",excel,,91639e1ad1b524ebc665e30c03a46c94,36077,9bf3dfb92ed7091add6d8b50c9eccad8579a410129ae8eb1e4bc39c6697349f8
"domestic/DOM CITYPAIR DATA, JUNE 2015.xlsx",excel,,d87387e5707a95577a3d4bc71983a1cb,20110,868b11823db00f8c709acf8bbb146cd007643c89ab059d6af6aa0ade8ad924f1
"domestic/DOM CITYPAIR DATA, JUNE 2017.xlsx",excel,,e6b33f04329e155d7483f1974602eac2,22240,21429d45cf0739d7433aeba3a72c5f6e10978a9e5d9400d73f769c368125ffdb
"domestic/DOM CITYPAIR DATA, JUNE 2018.xlsx",excel,,681653ecfac5535634a3b3ffd7c948bd,40833,d91fb969225be904afa3bb4ecba6802a121cb90766cc1985c8e3358a698505bc
"domestic/DOM CITYPAIR DATA, JUNE 2019.xlsx",excel,,a25b7b2281af31cbaac4515ae0e2d207,5383508,320c292cb68c23c713a62f3f180445d58c47f3bc37081e572d46cf49979c4555
"domestic/DOM CITYPAIR DATA, JUNE 2023.xlsx",excel,,d1a5246edbd84dd68a9efa676539bc04,64233,37c194aa0b311a048c145b5fd538375a99c5cc197241b9d672a45539f74c77af
"domestic/DOM CITYPAIR DATA, JUNE 2024.xlsx",excel,,aa6c1fd7cfe22b5f9aa025439c89ab37,64823,6344ab483f13860e8175d54de1c830eceaea7b67dd4121a0b3d2322b78c52572
"domestic/DOM CITYPAIR DATA, JUNE 2025.xlsx",excel,,4971217f0305ddcb48a79bc3e56f42f1,69395,7a6b1ed94ec3b764e0207143b5ad3d669dd2751ac3ac3dce7aa806947a8a3ba5
"domestic/DOM CITYPAIR DATA, JUNE 2026.xlsx",excel,,08983aaa1e21e87bfc4fd6ef10acc8b4,67544,23d316952927e39f1c731a39e8584aa320e1c845bd31fee149fc1154e4964579
"domestic/DOM CITYPAIR DATA, January 2021.xlsx",excel,,49789ddff6a6694220e8340ddbb6e637,56861,145c2eccbbd724cf11b2ab84ed77f1343aa5c447dac3758e36bc0b4c293d9312
"domestic/DOM CITYPAIR DATA, July 2022.xlsx",excel,,364547d2ac948fa5658af562336b4e0b,62360,bc8402f239dfee1b48ffc3ad2f5110c79649b0252e6e3a9367a1f15089cb3b3a
"domestic/DOM CITYPAIR DATA, June 2022.xlsx",excel,,ae0f6dd2223ed217402e372db9226fc8,62339,adcccbc4fe10d28c05f42edb5b962132b55729536186de65d97100fbf7583cdb
"domestic/DOM CITYPAIR DATA, MAR 2017.xlsx",excel,,63b8f0fcf0f54a8aceba59404650124b,22299,16be7021bb895c4f54838d368be67a01d995d9bbc763be1fea89c1a9d1be2b04
"domestic/DOM CITYPAIR DATA, MARCH  2020.xlsx",excel,,5d548cd9d76730d05ba02e8f8dd3bdeb,484362,b3ea0de592fe0a91a527276d121cf3d976d8eeb336346c823f09805af44823ad
"domestic/DOM CITYPAIR DATA, MARCH 2016.xlsx",excel,,2d84b1839b9d68afb15e6843df6f2ac4,23181,a538a5d18473af841ff2ce6eefd17e6a9b06d0470693bc7b4701d97835cf50a0
"domestic/DOM CITYPAIR DATA, MARCH 2018.xlsx",excel,,88f607e7d8fcb66d10904307a118dbe6,39224,3f1c0618117bb278ae843053c5975f5cf88aa571eea94e9f7d414ebf6a302f1a
"domestic/DOM CITYPAIR DATA, MARCH 2019.xlsx",excel,,b26c14cc4137cbe0d07e1c6a61e5326b,52145,365b3d725a4cdaf512176f663763c7c00098b254ec5c772a0f37f48772ada1f4
"domestic/DOM CITYPAIR DATA, MARCH 2022.xlsx",excel,,3b3292426e13a898a08b20a79a3c5383,62716,7dc21d641ab872671dbfb8d3998cee64710b4f1413c7068a5d5f07a542928c46
"domestic/DOM CITYPAIR DATA, MARCH 2024.xlsx",excel,,24fce9c0c0164e4cd3abeac7f23904ca,64596,d08e0118d68a869e99fab470cf0860eb1da5f82225a14bd1d6364e8d9227d5ed
"domestic/DOM CITYPAIR DATA, MARCH 2025.xlsx",excel,,0fc7913d094da126579a17ead5a348e3,72726,1f1724817a28db3f31384d050b6b1d719eb02e53847eb75d5cdf9d6c70ec7305
"domestic/DOM CITYPAIR DATA, MARCH 2026.xlsx",excel,,bf67ddcece5d41c89030fb8e37eeaa80,66385,8921d11b69e2bbba40e712016e7de5c13bc69a3a87bc12978e86bb7c621ac69b
"domestic/DOM CITYPAIR DATA, MAY  2020.xlsx",excel,,8a6acbd0c7abc8c00e84cedcaa8e4d24,39891,a9113d1f3493c3a94a28b27d9e9a6ad042543b723f7afbc6753b388c9add58b3
"domestic/DOM CITYPAIR DATA, MAY 2015.xlsx",excel,,8da4f5e6a92c100e936a1d144b2a3db7,20045,ec0ddf8ffc1683cd4f86e8e8bf220e775b473dd89a57b61590b96a3e5c313d28
"domestic/DOM CITYPAIR DATA, MAY 2016.xlsx",excel,,c1f64e832ddc823978d6976dfe42451c,21387,7e4a46326a5cb3af80697db6794ae3c05bc15ee062dd3931e50669d910a51ffe
"domestic/DOM CITYPAIR DATA, MAY 2017.xlsx",excel,,00cf44dc40072a21e054fe72bdd644f8,22036,f1dfbc4ab8009678af91f54c03d077fe90e805f805d3b731d2b5ab788bf41229
"domestic/DOM CITYPAIR DATA, MAY 2018.xlsx",excel,,45bb7e839ee29813d885683b9cc40782,40214,56ecc014aaee282dc555886d3b7f0dd8d833758b1d44d745fd94f52d33a8dd1e
"domestic/DOM CITYPAIR DATA, MAY 2019.xlsx",excel,,71a59fd86fe20a906a4662fcc39c6774,53935,e42e155369dd7761963ec5cf730513fa2b75a1da126e0bdc38950b198f171e42
"domestic/DOM CITYPAIR DATA, MAY 2025.xlsx",excel,,fbe80b45e7bb13dbab3b4b08dd3adeb8,70956,f3a78d3b0641d8f7fc2702b74265849ca5cb31fe191e21ec633d1f6e74fb1174
"domestic/DOM CITYPAIR DATA, MAY 2026.xlsx",excel,,4069b3b607b29836fe22174651d145fc,66902,ee575c0f992813688e900730b8ea7298b561c8d639a786800b636107f366891b
"domestic/DOM CITYPAIR DATA, March 2021.xlsx",excel,,4cd9ea10f0d426de927915462aed263a,62654,ff83535b5576e3d888b6ebb8e740e3a26ed21d5f5943ad36a04ff1b0241bbfae
"domestic/DOM CITYPAIR DATA, March 2023.xlsx",excel,,04052827f1b33de209a1183d4113315a,65310,74bbd255a6c034a3b7bec4000357d890ef82f8f6f432d4b1fc1e0eae92158665
"domestic/DOM CITYPAIR DATA, May 2021.xlsx",excel,,5b3ba099b92481867dd0fd4282fa315a,53484,2fd4059f1303c2fde05069f0fcef63c6c4261e284feb09fa0562aec9d3a22497
"domestic/DOM CITYPAIR DATA, May 2022.xlsx",excel,,5e4ae3c7579e823c2b889afb4519136e,62286,b191b468e899a43dd24c8567e1ba3ed0b58f9518bb0a6bb90d22f39108b30705
"domestic/DOM CITYPAIR DATA, May 2023.xlsx",excel,,b5c4bbfe3faa50462081f330c9d35e0b,64314,603d2caa0a8b85d65f89d8e06c3f336d39c5323b6dec588b797a54cc1d763819
"domestic/DOM CITYPAIR DATA, May 2024.xlsx",excel,,ec9c04da3dc6f663053f7c2031201049,64491,a1c15be43cebda0fc8e2311d8c8590e4cba6d32aacdae78ef089a24b7247b099
"domestic/DOM CITYPAIR DATA, NOV 2017.xlsx",excel,,50c3006396fe85d1724dfa2744f1d56d,23891,bb9ee557b6462e45732af1f35411572cb503cd1d7bd8a1022081899f31637592
"domestic/DOM CITYPAIR DATA, NOVEMBER  2019 .xlsx",excel,,6c1c5a9abea06b8eb9cb9c6f379fce8b,47431,aa67249b78f235ef5227d2c4f5a5436379351278ca98fb1d58ebf0dbfeb3c5c8
"domestic/DOM CITYPAIR DATA, NOVEMBER  2025.xlsx",excel,,6b539596e93e0b6c9852c64efbeb8a36,70389,023313ffba8dd8e9c1f6bbf508322d20ad87b80039eb5d491d351d3786a09d02
"domestic/DOM CITYPAIR DATA, NOVEMBER 2015.xlsx",excel,,3058e120b6dd14488b7baf51a9606404,21586,bb10eb7d3c151f5617da983f882ab667f71c93a050a3d2dc8afe8914e37cd063
"domestic/DOM CITYPAIR DATA, NOVEMBER 2018.xlsx",excel,,f82e074b1b1259b91e026e27dd6ba9a3,51699,2eff2f92064dbe319d9ab857458906bd8265572f5c410168c840fb0004270d16
"domestic/DOM CITYPAIR DATA, NOVEMBER 2021.xlsx",excel,,d2e60baf7642705513997c7dfa927112,61214,dceb2cf1ce24a8ad1f96321832f8656bce2b382d554c4c25fa0c14bbc8587b9d
"domestic/DOM CITYPAIR DATA, NOVEMBER 2023.xlsx",excel,,4b572b099f13f60bad895f8f4d2fed65,64585,76d213b3cbb442c0fcf864770f55fc3863cf1631c05532b37fa00f1cfdb57a4a
"domestic/DOM CITYPAIR DATA, NOVEMBER 2024.xlsx",excel,,2b140a29fc870aeeb898aae642afb995,72207,1829cdaf07557a0675d411a0b7f4b36a1cbe96962ea79489bc30c3d883695c05
"domestic/DOM CITYPAIR DATA, November  2020.xlsx",excel,,785e559fe28364882a3e4d2f09819f25,54009,35835e528af5ba306e6a3d59652d0ea10c6f10b22ce8aca28a605abb571b12ac
"domestic/DOM CITYPAIR DATA, November 2022.xlsx",excel,,3e03547ae551e171ab6585188fcb5508,62888,86e026081eac67926ef6f64bbd5000f8a4fde023dd8bda2a4ad6f1a5da27b50c
"domestic/DOM CITYPAIR DATA, OCT 2016.xlsx",excel,,ee25ca34331ce25653a339814273246e,21629,c6bbeb4a2276239d8bd80ad09ac138bdb3677b90d5c6ec16e50c615a04a2564e
"domestic/DOM CITYPAIR DATA, OCT 2017.xlsx",excel,,44930fab32a29a5333d2e54c5ca4ffd4,24095,692950087d21411c4e877e00caaafbb5ee86b2cf1e59c24972d6b36579ee1e50
"domestic/DOM CITYPAIR DATA, OCTOBER  2025.xlsx",excel,,fe3edd4a1f0bad984ef3f6bc0fe6a570,72044,c48a4615ff620feead0978cad9496afca7371935318bc5553358da037888e737
"domestic/DOM CITYPAIR DATA, OCTOBER 2015.xlsx",excel,,79a930f8b08dd15dce3dc4bf77513534,23549,ed17d0805673665ca85f6045504f7904f987d791b005eb27d99b61d585f47e79
"domestic/DOM CITYPAIR DATA, OCTOBER 2018.xlsx",excel,,1bba63f2ee7fab099d492488f105f5d7,51828,41bc09b9f78131d3f13f864b15061f07acab609363863df3a277e0259f1205aa
"domestic/DOM CITYPAIR DATA, OCTOBER 2019 .xlsx",excel,,b3cdf6672712f2301d478f5119b98d5f,49032,36c34f924ea88b35657813bdd7f77065602786649be44da7bd28a8750d195d25
"domestic/DOM CITYPAIR DATA, OCTOBER 2021.xlsx",excel,,8501b0568b7cf90a80969372e7c8ab66,62631,36bab6a69eec11fb262aca769774f4be4d86e113bcaaaf342e3128a4ac4a574c
"domestic/DOM CITYPAIR DATA, OCTOBER 2023.xlsx",excel,,015028da1793a41e96bcc45321c640fd,66505,a45ea81ebaab74d922779d0cf7cac36fe17a963caaf6b611c3cfa16f646c79c0
"domestic/DOM CITYPAIR DATA, OCTOBER 2024.xlsx",excel,,50adaeff31fe075c17af3587d3f9e58a,71334,5db6302166f80cc75c7154f61932134c8ee4c5301446c0f84dd080b867ec28cb
"domestic/DOM CITYPAIR DATA, October  2020.xlsx",excel,,1fcf584a8ce1b780a712d01d8eddd262,54013,a298a8722b9a04267e4564dbbc1f0bcedbca2024160e7f17f5dffb6f0b77b2e4
"domestic/DOM CITYPAIR DATA, October 2022.xlsx",excel,,d2acb85ac4d1d97dfe9c38da7e936a68,63047,fa64f6533fdc015d9a170302cc3ed2161cd23ab68cb5034508c03ccfdd87d555
"domestic/DOM CITYPAIR DATA, SEP 2016.xlsx",excel,,24e4b81cb72fcfe4ac3d2c6bac1ad07a,21145,00b2befb554270a20d0f25a51d045457b55c5cb4c791997a0744ecc32ac8a25a
"domestic/DOM CITYPAIR DATA, SEP 2017.xlsx",excel,,aa868af157b16f7d5f4f914aed7f9c26,23577,ae5c71dc3857819192a82a95117fee502ca28d5ae8fa58129b3ab50c33185efa
"domestic/DOM CITYPAIR DATA, SEPT 2018.xlsx",excel,,4e0bee94a3c8800559ad1a694b3e63bf,50119,38ea70d4c4399d45e2563cb18f5f7bf41f44262118868918a493a6dadb9d3ff6
"domestic/DOM CITYPAIR DATA, SEPTEMBER 2015.xlsx",excel,,6f71cc5d50635f7c6fbc3f6228e7d68c,22382,59fad91a54702841a3bce2c842f93fc3b4a2d959efab7e4b3379c79174df22fc
